||uErrorL2Norm||_L2    ||uErrorRelL2Norm||_L2 
  0.0261307                  0.0468777
  0.0255304                  0.0458047
  0.0251658                  0.0451572
  0.0245574                  0.044084
  0.0241331                  0.0433376
  0.0239062                  0.0429347
  0.0237437                  0.0426449
  0.0236557                  0.0424866
  0.0235973                  0.0423816
  0.0235704                  0.0423333
  0.0235573                  0.04231
  0.0235486                  0.0422944
  0.0235431                  0.0422845
  0.0235396                  0.0422783
  0.0235375                  0.0422745
  0.0235358                  0.0422714
  0.0235345                  0.0422693
  0.0235334                  0.0422673
  0.0235324                  0.0422654
  0.0235313                  0.0422635
