||uErrorL2Norm||_L2    ||uErrorRelL2Norm||_L2 
  0.0112498                  0.0201817
  0.0115943                  0.0208017
  0.0118717                  0.0213017
  0.0123538                  0.0221767
  0.0128119                  0.0230097
  0.0129923                  0.0233339
  0.0131016                  0.0235309
  0.0131659                  0.0236464
  0.0132022                  0.0237119
  0.0132278                  0.0237579
  0.0132404                  0.0237804
  0.0132491                  0.023796
  0.0132546                  0.0238059
  0.013258                  0.0238121
  0.0132601                  0.0238159
  0.0132615                  0.0238183
  0.0132624                  0.0238199
  0.0132632                  0.0238215
  0.0132641                  0.0238232
  0.013265                  0.0238247
